model,depth,accuracy,count,avg_confidence
Claude Opus 4.5,1,1.0,5,98.6
Claude Opus 4.5,2,1.0,5,96.2
Claude Opus 4.5,3,1.0,5,83.0
Claude Opus 4.5,4,1.0,5,86.4
GPT-5.2 Thinking,1,0.0,5,
GPT-5.2 Thinking,2,0.0,5,
GPT-5.2 Thinking,3,0.0,5,
GPT-5.2 Thinking,4,0.0,5,
Gemini 3 Pro,1,1.0,5,100.0
Gemini 3 Pro,2,1.0,5,100.0
Gemini 3 Pro,3,1.0,5,100.0
Gemini 3 Pro,4,1.0,5,100.0
