model,depth,accuracy,count,avg_confidence
GPT-5.2 Thinking,1,1.0,5,98.0
GPT-5.2 Thinking,2,1.0,5,95.4
GPT-5.2 Thinking,3,1.0,5,86.0
GPT-5.2 Thinking,4,1.0,5,76.2
